stage_name,map_key,level,formation_id,technique_code,technique_name,fixed_famous_count,expected_total_count_including_generic,randomly_generated_slots
筒井順慶軍,x4y10,2,100,19,虚報,0,0.11167199999999998,28
筒井順慶軍,x4y10,2,100,21,槍術,0,0.01,28
筒井順慶軍,x4y10,2,100,22,豪傑,1,1.0299666666666671,28
筒井順慶軍,x4y10,2,100,23,無双,0,1.245,28
筒井順慶軍,x4y10,2,100,24,治癒,0,0.006706609523809525,28
筒井順慶軍,x4y10,2,100,25,鬼神,0,0.02,28
九鬼水軍,x9y15,2,101,2,弓矢,0,12.384000000000004,28
九鬼水軍,x9y15,2,101,3,遠射,0,3.2000000000000006,28
九鬼水軍,x9y15,2,101,11,旋風,0,8.964,28
九鬼水軍,x9y15,2,101,14,号令,2,2.0,28
九鬼水軍,x9y15,2,101,15,火矢,0,0.29119999999999996,28
九鬼水軍,x9y15,2,101,16,焙烙,0,0.12480000000000001,28
九鬼水軍,x9y15,2,101,23,無双,0,2.988000000000001,28
九鬼水軍,x9y15,2,101,25,鬼神,0,0.048000000000000015,28
伊賀藤林忍軍,x6y11,2,103,1,槍撃,0,6.965,29
伊賀藤林忍軍,x6y11,2,103,2,弓矢,0,8.514,29
伊賀藤林忍軍,x6y11,2,103,3,遠射,0,2.1999999999999997,29
伊賀藤林忍軍,x6y11,2,103,12,忍術,0,9.379556999999997,29
伊賀藤林忍軍,x6y11,2,103,13,影走,1,2.4015429999999993,29
伊賀藤林忍軍,x6y11,2,103,15,火矢,0,0.20019999999999996,29
伊賀藤林忍軍,x6y11,2,103,16,焙烙,0,0.0858,29
伊賀藤林忍軍,x6y11,2,103,20,幻術,0,0.10890000000000002,29
伊賀藤林忍軍,x6y11,2,103,21,槍術,0,0.035,29
伊賀藤林忍軍,x6y11,2,103,27,結界,0,0.10999999999999999,29
宇喜多秀家軍,x1y5,2,112,1,槍撃,0,7.96,29
宇喜多秀家軍,x1y5,2,112,2,弓矢,0,5.418,29
宇喜多秀家軍,x1y5,2,112,3,遠射,0,1.4,29
宇喜多秀家軍,x1y5,2,112,4,射撃,0,1.592,29
宇喜多秀家軍,x1y5,2,112,5,狙撃,0,0.4,29
宇喜多秀家軍,x1y5,2,112,6,火遊,0,2.8235117357142854,29
宇喜多秀家軍,x1y5,2,112,7,火攻,0,2.8235117357142854,29
宇喜多秀家軍,x1y5,2,112,8,火計,1,1.1154657357142859,29
宇喜多秀家軍,x1y5,2,112,9,業火,0,0.013465735714285713,29
宇喜多秀家軍,x1y5,2,112,10,炎術,0,7.714285714285713e-05,29
宇喜多秀家軍,x1y5,2,112,11,旋風,0,1.494,29
宇喜多秀家軍,x1y5,2,112,12,忍術,0,1.705374,29
宇喜多秀家軍,x1y5,2,112,13,影走,0,0.254826,29
宇喜多秀家軍,x1y5,2,112,14,号令,0,1.987788888888889,29
宇喜多秀家軍,x1y5,2,112,15,火矢,0,0.12739999999999999,29
宇喜多秀家軍,x1y5,2,112,16,焙烙,0,0.0546,29
宇喜多秀家軍,x1y5,2,112,17,砲撃,0,0.008,29
宇喜多秀家軍,x1y5,2,112,18,妖術,0,0.0564,29
宇喜多秀家軍,x1y5,2,112,19,虚報,0,0.16750799999999996,29
宇喜多秀家軍,x1y5,2,112,20,幻術,0,0.0198,29
宇喜多秀家軍,x1y5,2,112,21,槍術,0,0.04,29
宇喜多秀家軍,x1y5,2,112,22,豪傑,0,0.00998888888888889,29
宇喜多秀家軍,x1y5,2,112,23,無双,0,0.498,29
宇喜多秀家軍,x1y5,2,112,24,治癒,0,0.002282136507936509,29
宇喜多秀家軍,x1y5,2,112,25,鬼神,0,0.008,29
宇喜多秀家軍,x1y5,2,112,27,結界,0,0.02,29
国友鉄砲隊,x11y4,3,98,1,槍撃,0,7.96,29
国友鉄砲隊,x11y4,3,98,4,射撃,0,12.735999999999999,29
国友鉄砲隊,x11y4,3,98,5,狙撃,1,4.200000000000001,29
国友鉄砲隊,x11y4,3,98,11,旋風,0,2.241,29
国友鉄砲隊,x11y4,3,98,14,号令,0,1.987788888888889,29
国友鉄砲隊,x11y4,3,98,17,砲撃,0,0.06400000000000003,29
国友鉄砲隊,x11y4,3,98,21,槍術,0,0.04,29
国友鉄砲隊,x11y4,3,98,22,豪傑,0,0.00998888888888889,29
国友鉄砲隊,x11y4,3,98,23,無双,0,0.747,29
国友鉄砲隊,x11y4,3,98,24,治癒,0,0.0022222222222222222,29
国友鉄砲隊,x11y4,3,98,25,鬼神,0,0.012,29
北条氏政軍,x16y15,3,111,1,槍撃,0,2.985,26
北条氏政軍,x16y15,3,111,2,弓矢,0,11.610000000000003,26
北条氏政軍,x16y15,3,111,3,遠射,0,3.0000000000000004,26
北条氏政軍,x16y15,3,111,12,忍術,0,3.410748,26
北条氏政軍,x16y15,3,111,13,影走,0,0.509652,26
北条氏政軍,x16y15,3,111,14,号令,2,5.9755777777777785,26
北条氏政軍,x16y15,3,111,15,火矢,0,0.27299999999999996,26
北条氏政軍,x16y15,3,111,16,焙烙,0,0.117,26
北条氏政軍,x16y15,3,111,19,虚報,1,1.0,26
北条氏政軍,x16y15,3,111,20,幻術,0,0.0396,26
北条氏政軍,x16y15,3,111,21,槍術,0,0.015,26
北条氏政軍,x16y15,3,111,22,豪傑,0,0.01997777777777778,26
北条氏政軍,x16y15,3,111,24,治癒,0,0.0044444444444444444,26
北条氏政軍,x16y15,3,111,27,結界,1,1.04,26
足利義昭軍,x5y8,3,113,1,槍撃,0,8.955,27
足利義昭軍,x5y8,3,113,2,弓矢,0,5.418,27
足利義昭軍,x5y8,3,113,3,遠射,0,1.4,27
足利義昭軍,x5y8,3,113,4,射撃,0,2.388,27
足利義昭軍,x5y8,3,113,5,狙撃,0,0.6000000000000001,27
足利義昭軍,x5y8,3,113,6,火遊,0,2.8235117357142854,27
足利義昭軍,x5y8,3,113,7,火攻,0,2.8235117357142854,27
足利義昭軍,x5y8,3,113,8,火計,0,0.1154657357142857,27
足利義昭軍,x5y8,3,113,9,業火,0,0.013465735714285713,27
足利義昭軍,x5y8,3,113,10,炎術,0,7.714285714285713e-05,27
足利義昭軍,x5y8,3,113,13,影走,1,1.0,27
足利義昭軍,x5y8,3,113,14,号令,0,1.987788888888889,27
足利義昭軍,x5y8,3,113,15,火矢,0,0.12739999999999999,27
足利義昭軍,x5y8,3,113,16,焙烙,0,0.0546,27
足利義昭軍,x5y8,3,113,17,砲撃,0,0.012,27
足利義昭軍,x5y8,3,113,18,妖術,0,0.0564,27
足利義昭軍,x5y8,3,113,19,虚報,1,1.1675079999999993,27
足利義昭軍,x5y8,3,113,21,槍術,0,0.045,27
足利義昭軍,x5y8,3,113,22,豪傑,0,0.00998888888888889,27
足利義昭軍,x5y8,3,113,24,治癒,1,1.0022821365079362,27
透波衆,x16y5,3,121,1,槍撃,0,5.97,28
透波衆,x16y5,3,121,2,弓矢,0,8.514,28
透波衆,x16y5,3,121,3,遠射,0,2.1999999999999997,28
透波衆,x16y5,3,121,11,旋風,0,2.241,28
透波衆,x16y5,3,121,12,忍術,0,5.116121999999999,28
透波衆,x16y5,3,121,13,影走,1,1.764478,28
透波衆,x16y5,3,121,14,号令,0,1.987788888888889,28
透波衆,x16y5,3,121,15,火矢,0,0.20019999999999996,28
透波衆,x16y5,3,121,16,焙烙,0,0.0858,28
透波衆,x16y5,3,121,20,幻術,1,1.0594000000000001,28
透波衆,x16y5,3,121,21,槍術,0,0.030000000000000002,28
透波衆,x16y5,3,121,22,豪傑,0,0.00998888888888889,28
透波衆,x16y5,3,121,23,無双,0,0.747,28
透波衆,x16y5,3,121,24,治癒,0,0.0022222222222222222,28
透波衆,x16y5,3,121,25,鬼神,0,0.012,28
透波衆,x16y5,3,121,27,結界,0,0.060000000000000005,28
丹羽長秀軍,x3y8,3,123,1,槍撃,0,7.96,27
丹羽長秀軍,x3y8,3,123,2,弓矢,0,3.096,27
丹羽長秀軍,x3y8,3,123,3,遠射,0,0.8,27
丹羽長秀軍,x3y8,3,123,4,射撃,0,3.9800000000000004,27
丹羽長秀軍,x3y8,3,123,5,狙撃,0,1.0,27
丹羽長秀軍,x3y8,3,123,6,火遊,0,1.8823411571428568,27
丹羽長秀軍,x3y8,3,123,7,火攻,0,1.8823411571428568,27
丹羽長秀軍,x3y8,3,123,8,火計,0,0.07697715714285713,27
丹羽長秀軍,x3y8,3,123,9,業火,0,0.008977157142857142,27
丹羽長秀軍,x3y8,3,123,10,炎術,0,5.142857142857142e-05,27
丹羽長秀軍,x3y8,3,123,11,旋風,0,2.988,27
丹羽長秀軍,x3y8,3,123,12,忍術,0,1.705374,27
丹羽長秀軍,x3y8,3,123,13,影走,0,0.254826,27
丹羽長秀軍,x3y8,3,123,14,号令,2,2.0,27
丹羽長秀軍,x3y8,3,123,15,火矢,0,0.07279999999999999,27
丹羽長秀軍,x3y8,3,123,16,焙烙,0,0.0312,27
丹羽長秀軍,x3y8,3,123,17,砲撃,0,0.02,27
丹羽長秀軍,x3y8,3,123,18,妖術,0,0.0376,27
丹羽長秀軍,x3y8,3,123,19,虚報,0,0.11167199999999998,27
丹羽長秀軍,x3y8,3,123,20,幻術,0,0.0198,27
丹羽長秀軍,x3y8,3,123,21,槍術,0,0.04,27
丹羽長秀軍,x3y8,3,123,23,無双,0,0.996,27
丹羽長秀軍,x3y8,3,123,24,治癒,1,1.0000399428571427,27
丹羽長秀軍,x3y8,3,123,25,鬼神,0,0.016,27
丹羽長秀軍,x3y8,3,123,27,結界,0,0.02,27
稲富流砲術隊,x5y3,4,107,1,槍撃,0,7.96,29
稲富流砲術隊,x5y3,4,107,4,射撃,0,12.735999999999999,29
稲富流砲術隊,x5y3,4,107,5,狙撃,1,4.200000000000001,29
稲富流砲術隊,x5y3,4,107,11,旋風,0,2.241,29
稲富流砲術隊,x5y3,4,107,14,号令,0,1.987788888888889,29
稲富流砲術隊,x5y3,4,107,17,砲撃,0,0.06400000000000003,29
稲富流砲術隊,x5y3,4,107,21,槍術,0,0.04,29
稲富流砲術隊,x5y3,4,107,22,豪傑,0,0.00998888888888889,29
稲富流砲術隊,x5y3,4,107,23,無双,0,0.747,29
稲富流砲術隊,x5y3,4,107,24,治癒,0,0.0022222222222222222,29
稲富流砲術隊,x5y3,4,107,25,鬼神,0,0.012,29
服部半蔵軍,x14y13,4,108,1,槍撃,0,1.99,29
服部半蔵軍,x14y13,4,108,2,弓矢,0,3.87,29
服部半蔵軍,x14y13,4,108,3,遠射,0,1.0,29
服部半蔵軍,x14y13,4,108,6,火遊,0,0.9411705785714284,29
服部半蔵軍,x14y13,4,108,7,火攻,0,0.9411705785714284,29
服部半蔵軍,x14y13,4,108,8,火計,0,0.03848857857142857,29
服部半蔵軍,x14y13,4,108,9,業火,0,0.004488578571428571,29
服部半蔵軍,x14y13,4,108,10,炎術,0,2.571428571428571e-05,29
服部半蔵軍,x14y13,4,108,11,旋風,0,7.47,29
服部半蔵軍,x14y13,4,108,12,忍術,0,6.821495999999998,29
服部半蔵軍,x14y13,4,108,13,影走,0,1.019304,29
服部半蔵軍,x14y13,4,108,14,号令,0,1.987788888888889,29
服部半蔵軍,x14y13,4,108,15,火矢,0,0.09099999999999998,29
服部半蔵軍,x14y13,4,108,16,焙烙,0,0.039,29
服部半蔵軍,x14y13,4,108,18,妖術,1,1.0188000000000001,29
服部半蔵軍,x14y13,4,108,19,虚報,0,0.05583599999999999,29
服部半蔵軍,x14y13,4,108,20,幻術,0,0.0792,29
服部半蔵軍,x14y13,4,108,21,槍術,0,0.01,29
服部半蔵軍,x14y13,4,108,22,豪傑,0,0.00998888888888889,29
服部半蔵軍,x14y13,4,108,23,無双,0,2.4900000000000007,29
服部半蔵軍,x14y13,4,108,24,治癒,0,0.002242193650793651,29
服部半蔵軍,x14y13,4,108,25,鬼神,0,0.04000000000000001,29
服部半蔵軍,x14y13,4,108,27,結界,0,0.08,29
本多正信軍,x14y14,4,109,1,槍撃,0,2.985,28
本多正信軍,x14y14,4,109,2,弓矢,0,5.418,28
本多正信軍,x14y14,4,109,3,遠射,0,1.4,28
本多正信軍,x14y14,4,109,4,射撃,0,1.592,28
本多正信軍,x14y14,4,109,5,狙撃,0,0.4,28
本多正信軍,x14y14,4,109,6,火遊,0,4.235267603571428,28
本多正信軍,x14y14,4,109,7,火攻,0,4.235267603571428,28
本多正信軍,x14y14,4,109,8,火計,0,0.17319860357142855,28
本多正信軍,x14y14,4,109,9,業火,0,0.02019860357142857,28
本多正信軍,x14y14,4,109,10,炎術,0,0.00011571428571428568,28
本多正信軍,x14y14,4,109,11,旋風,0,2.241,28
本多正信軍,x14y14,4,109,12,忍術,0,1.705374,28
本多正信軍,x14y14,4,109,13,影走,0,0.254826,28
本多正信軍,x14y14,4,109,14,号令,0,1.987788888888889,28
本多正信軍,x14y14,4,109,15,火矢,0,0.12739999999999999,28
本多正信軍,x14y14,4,109,16,焙烙,0,0.0546,28
本多正信軍,x14y14,4,109,17,砲撃,0,0.008,28
本多正信軍,x14y14,4,109,18,妖術,0,0.08460000000000001,28
本多正信軍,x14y14,4,109,19,虚報,1,1.251261999999999,28
本多正信軍,x14y14,4,109,20,幻術,0,0.0198,28
本多正信軍,x14y14,4,109,21,槍術,0,0.015,28
本多正信軍,x14y14,4,109,22,豪傑,0,0.00998888888888889,28
本多正信軍,x14y14,4,109,23,無双,0,0.747,28
本多正信軍,x14y14,4,109,24,治癒,1,1.0023120936507932,28
本多正信軍,x14y14,4,109,25,鬼神,0,0.012,28
本多正信軍,x14y14,4,109,27,結界,0,0.02,28
武田勝頼軍,x16y8,4,110,1,槍撃,0,1.99,25
武田勝頼軍,x16y8,4,110,2,弓矢,0,8.514,25
武田勝頼軍,x16y8,4,110,3,遠射,0,2.1999999999999997,25
武田勝頼軍,x16y8,4,110,9,業火,1,1.0,25
武田勝頼軍,x16y8,4,110,11,旋風,0,3.735,25
武田勝頼軍,x16y8,4,110,14,号令,1,4.975577777777778,25
武田勝頼軍,x16y8,4,110,15,火矢,0,0.20019999999999996,25
武田勝頼軍,x16y8,4,110,16,焙烙,0,0.0858,25
武田勝頼軍,x16y8,4,110,20,幻術,1,1.0,25
武田勝頼軍,x16y8,4,110,21,槍術,0,0.01,25
武田勝頼軍,x16y8,4,110,22,豪傑,0,0.01997777777777778,25
武田勝頼軍,x16y8,4,110,23,無双,0,1.245,25
武田勝頼軍,x16y8,4,110,24,治癒,0,0.0044444444444444444,25
武田勝頼軍,x16y8,4,110,25,鬼神,0,0.02,25
武田勝頼軍,x16y8,4,110,26,騎突,2,5.0,25
滝川一益軍,x16y12,4,117,1,槍撃,0,4.975,27
滝川一益軍,x16y12,4,117,2,弓矢,0,1.548,27
滝川一益軍,x16y12,4,117,3,遠射,0,0.4,27
滝川一益軍,x16y12,4,117,4,射撃,0,7.1640000000000015,27
滝川一益軍,x16y12,4,117,5,狙撃,0,1.7999999999999998,27
滝川一益軍,x16y12,4,117,11,旋風,0,2.988,27
滝川一益軍,x16y12,4,117,12,忍術,0,5.116121999999999,27
滝川一益軍,x16y12,4,117,13,影走,0,0.764478,27
滝川一益軍,x16y12,4,117,14,号令,0,0.9938944444444445,27
滝川一益軍,x16y12,4,117,15,火矢,0,0.036399999999999995,27
滝川一益軍,x16y12,4,117,16,焙烙,0,0.0156,27
滝川一益軍,x16y12,4,117,17,砲撃,0,0.036000000000000004,27
滝川一益軍,x16y12,4,117,20,幻術,0,0.0594,27
滝川一益軍,x16y12,4,117,21,槍術,0,0.025,27
滝川一益軍,x16y12,4,117,22,豪傑,2,2.0049944444444443,27
滝川一益軍,x16y12,4,117,23,無双,0,0.996,27
滝川一益軍,x16y12,4,117,24,治癒,0,0.0011111111111111111,27
滝川一益軍,x16y12,4,117,25,鬼神,1,1.016,27
滝川一益軍,x16y12,4,117,27,結界,0,0.060000000000000005,27
堺衆,x2y9,4,120,2,弓矢,0,1.548,29
堺衆,x2y9,4,120,3,遠射,0,0.4,29
堺衆,x2y9,4,120,4,射撃,0,8.756000000000002,29
堺衆,x2y9,4,120,5,狙撃,0,2.1999999999999997,29
堺衆,x2y9,4,120,11,旋風,0,11.952,29
堺衆,x2y9,4,120,15,火矢,0,0.036399999999999995,29
堺衆,x2y9,4,120,16,焙烙,0,0.0156,29
堺衆,x2y9,4,120,17,砲撃,0,0.04400000000000001,29
堺衆,x2y9,4,120,23,無双,0,3.9840000000000013,29
堺衆,x2y9,4,120,24,治癒,1,1.0,29
堺衆,x2y9,4,120,25,鬼神,0,0.06400000000000003,29
松永久秀軍,x4y12,5,102,1,槍撃,0,8.955,26
松永久秀軍,x4y12,5,102,2,弓矢,0,8.514,26
松永久秀軍,x4y12,5,102,3,遠射,0,2.1999999999999997,26
松永久秀軍,x4y12,5,102,6,火遊,0,0.9411705785714284,26
松永久秀軍,x4y12,5,102,7,火攻,0,0.9411705785714284,26
松永久秀軍,x4y12,5,102,8,火計,0,0.03848857857142857,26
松永久秀軍,x4y12,5,102,9,業火,0,0.004488578571428571,26
松永久秀軍,x4y12,5,102,10,炎術,0,2.571428571428571e-05,26
松永久秀軍,x4y12,5,102,11,旋風,0,2.988,26
松永久秀軍,x4y12,5,102,14,号令,2,2.0,26
松永久秀軍,x4y12,5,102,15,火矢,0,0.20019999999999996,26
松永久秀軍,x4y12,5,102,16,焙烙,0,0.0858,26
松永久秀軍,x4y12,5,102,18,妖術,1,1.0188000000000001,26
松永久秀軍,x4y12,5,102,19,虚報,0,0.05583599999999999,26
松永久秀軍,x4y12,5,102,20,幻術,1,1.0,26
松永久秀軍,x4y12,5,102,21,槍術,0,0.045,26
松永久秀軍,x4y12,5,102,23,無双,0,0.996,26
松永久秀軍,x4y12,5,102,24,治癒,0,1.9971428571428572e-05,26
松永久秀軍,x4y12,5,102,25,鬼神,0,0.016,26
伊賀百地忍軍,x6y10,5,104,1,槍撃,0,5.97,28
伊賀百地忍軍,x6y10,5,104,2,弓矢,0,5.418,28
伊賀百地忍軍,x6y10,5,104,3,遠射,0,1.4,28
伊賀百地忍軍,x6y10,5,104,4,射撃,0,2.388,28
伊賀百地忍軍,x6y10,5,104,5,狙撃,0,0.6000000000000001,28
伊賀百地忍軍,x6y10,5,104,11,旋風,0,2.988,28
伊賀百地忍軍,x6y10,5,104,12,忍術,0,6.821495999999998,28
伊賀百地忍軍,x6y10,5,104,13,影走,0,1.019304,28
伊賀百地忍軍,x6y10,5,104,15,火矢,0,0.12739999999999999,28
伊賀百地忍軍,x6y10,5,104,16,焙烙,0,0.0546,28
伊賀百地忍軍,x6y10,5,104,17,砲撃,0,0.012,28
伊賀百地忍軍,x6y10,5,104,20,幻術,0,0.0792,28
伊賀百地忍軍,x6y10,5,104,21,槍術,0,0.030000000000000002,28
伊賀百地忍軍,x6y10,5,104,23,無双,1,1.9960000000000004,28
伊賀百地忍軍,x6y10,5,104,25,鬼神,0,0.016,28
伊賀百地忍軍,x6y10,5,104,27,結界,1,1.08,28
毛利輝元軍,x1y1,5,115,1,槍撃,0,0.995,27
毛利輝元軍,x1y1,5,115,2,弓矢,0,6.966,27
毛利輝元軍,x1y1,5,115,3,遠射,0,1.7999999999999998,27
毛利輝元軍,x1y1,5,115,4,射撃,0,1.592,27
毛利輝元軍,x1y1,5,115,5,狙撃,0,0.4,27
毛利輝元軍,x1y1,5,115,9,業火,1,1.0,27
毛利輝元軍,x1y1,5,115,11,旋風,0,5.976,27
毛利輝元軍,x1y1,5,115,14,号令,2,8.957261111111112,27
毛利輝元軍,x1y1,5,115,15,火矢,0,0.16379999999999997,27
毛利輝元軍,x1y1,5,115,16,焙烙,0,0.0702,27
毛利輝元軍,x1y1,5,115,17,砲撃,0,0.008,27
毛利輝元軍,x1y1,5,115,21,槍術,0,0.005,27
毛利輝元軍,x1y1,5,115,22,豪傑,0,0.03496111111111111,27
毛利輝元軍,x1y1,5,115,23,無双,0,1.9920000000000004,27
毛利輝元軍,x1y1,5,115,24,治癒,0,0.007777777777777778,27
毛利輝元軍,x1y1,5,115,25,鬼神,0,0.032,27
真田昌幸軍,x16y6,5,116,1,槍撃,0,2.985,17
真田昌幸軍,x16y6,5,116,2,弓矢,0,6.192,17
真田昌幸軍,x16y6,5,116,3,遠射,0,1.5999999999999999,17
真田昌幸軍,x16y6,5,116,5,狙撃,1,1.0,17
真田昌幸軍,x16y6,5,116,6,火遊,0,1.8823411571428568,17
真田昌幸軍,x16y6,5,116,7,火攻,0,1.8823411571428568,17
真田昌幸軍,x16y6,5,116,8,火計,0,0.07697715714285713,17
真田昌幸軍,x16y6,5,116,9,業火,0,0.008977157142857142,17
真田昌幸軍,x16y6,5,116,10,炎術,1,1.0000514285714281,17
真田昌幸軍,x16y6,5,116,13,影走,1,1.0,17
真田昌幸軍,x16y6,5,116,14,号令,1,1.0,17
真田昌幸軍,x16y6,5,116,15,火矢,0,0.14559999999999998,17
真田昌幸軍,x16y6,5,116,16,焙烙,1,1.0624000000000002,17
真田昌幸軍,x16y6,5,116,18,妖術,0,0.0376,17
真田昌幸軍,x16y6,5,116,19,虚報,0,0.11167199999999998,17
真田昌幸軍,x16y6,5,116,20,幻術,1,1.0,17
真田昌幸軍,x16y6,5,116,21,槍術,4,4.015,17
真田昌幸軍,x16y6,5,116,22,豪傑,1,1.0,17
真田昌幸軍,x16y6,5,116,23,無双,2,2.0,17
真田昌幸軍,x16y6,5,116,24,治癒,0,3.9942857142857144e-05,17
真田昌幸軍,x16y6,5,116,26,騎突,0,2.0,17
宮本武蔵軍,x0y4,5,119,2,弓矢,0,10.062000000000001,29
宮本武蔵軍,x0y4,5,119,3,遠射,0,2.6,29
宮本武蔵軍,x0y4,5,119,11,旋風,0,11.952,29
宮本武蔵軍,x0y4,5,119,15,火矢,0,0.23659999999999995,29
宮本武蔵軍,x0y4,5,119,16,焙烙,0,0.1014,29
宮本武蔵軍,x0y4,5,119,23,無双,0,3.9840000000000013,29
宮本武蔵軍,x0y4,5,119,25,鬼神,1,1.064,29
明智光秀軍,x6y7,5,124,1,槍撃,0,5.97,27
明智光秀軍,x6y7,5,124,2,弓矢,0,5.418,27
明智光秀軍,x6y7,5,124,3,遠射,0,1.4,27
明智光秀軍,x6y7,5,124,4,射撃,0,1.592,27
明智光秀軍,x6y7,5,124,5,狙撃,0,0.4,27
明智光秀軍,x6y7,5,124,6,火遊,0,1.8823411571428568,27
明智光秀軍,x6y7,5,124,7,火攻,0,1.8823411571428568,27
明智光秀軍,x6y7,5,124,8,火計,0,0.07697715714285713,27
明智光秀軍,x6y7,5,124,9,業火,0,0.008977157142857142,27
明智光秀軍,x6y7,5,124,10,炎術,0,5.142857142857142e-05,27
明智光秀軍,x6y7,5,124,11,旋風,0,5.976,27
明智光秀軍,x6y7,5,124,14,号令,3,3.0,27
明智光秀軍,x6y7,5,124,15,火矢,0,0.12739999999999999,27
明智光秀軍,x6y7,5,124,16,焙烙,0,0.0546,27
明智光秀軍,x6y7,5,124,17,砲撃,0,0.008,27
明智光秀軍,x6y7,5,124,18,妖術,0,0.0376,27
明智光秀軍,x6y7,5,124,19,虚報,0,0.11167199999999998,27
明智光秀軍,x6y7,5,124,21,槍術,0,0.030000000000000002,27
明智光秀軍,x6y7,5,124,23,無双,0,1.9920000000000004,27
明智光秀軍,x6y7,5,124,24,治癒,0,3.9942857142857144e-05,27
明智光秀軍,x6y7,5,124,25,鬼神,0,0.032,27
風魔忍軍,x16y16,6,105,1,槍撃,0,3.98,29
風魔忍軍,x16y16,6,105,2,弓矢,0,5.418,29
風魔忍軍,x16y16,6,105,3,遠射,0,1.4,29
風魔忍軍,x16y16,6,105,4,射撃,0,1.592,29
風魔忍軍,x16y16,6,105,5,狙撃,0,0.4,29
風魔忍軍,x16y16,6,105,11,旋風,0,5.976,29
風魔忍軍,x16y16,6,105,12,忍術,0,5.116121999999999,29
風魔忍軍,x16y16,6,105,13,影走,0,0.764478,29
風魔忍軍,x16y16,6,105,14,号令,0,1.987788888888889,29
風魔忍軍,x16y16,6,105,15,火矢,0,0.12739999999999999,29
風魔忍軍,x16y16,6,105,16,焙烙,0,0.0546,29
風魔忍軍,x16y16,6,105,17,砲撃,0,0.008,29
風魔忍軍,x16y16,6,105,20,幻術,0,0.0594,29
風魔忍軍,x16y16,6,105,21,槍術,0,0.02,29
風魔忍軍,x16y16,6,105,22,豪傑,0,0.00998888888888889,29
風魔忍軍,x16y16,6,105,23,無双,0,1.9920000000000004,29
風魔忍軍,x16y16,6,105,24,治癒,0,0.0022222222222222222,29
風魔忍軍,x16y16,6,105,25,鬼神,0,0.032,29
風魔忍軍,x16y16,6,105,27,結界,1,1.06,29
雑賀衆,x0y13,6,106,4,射撃,0,12.735999999999999,27
雑賀衆,x0y13,6,106,5,狙撃,0,3.2000000000000006,27
雑賀衆,x0y13,6,106,11,旋風,0,8.217,27
雑賀衆,x0y13,6,106,14,号令,2,2.0,27
雑賀衆,x0y13,6,106,17,砲撃,1,1.064,27
