"filename", "language", "JSON with Comments", "Python", "PowerShell", "Markdown", "JSON", "PostCSS", "TypeScript", "HTML", "Ini", "JavaScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\atlas\battle_intro_atlas.json", "JSON", 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 1, 249
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\atlas\map_ui_atlas.json", "JSON", 0, 0, 0, 0, 1467, 0, 0, 0, 0, 0, 0, 1, 1468
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\intro_timeline.json", "JSON", 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 1, 423
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\map_cells.json", "JSON", 0, 0, 0, 0, 7666, 0, 0, 0, 0, 0, 0, 1, 7667
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\map_ui_manifest.json", "JSON", 0, 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 1, 294
"c:\Users\jingc\Documents\戦国じゃんぶる\assets\map_ui\config\transition_contract.json", "JSON", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jingc\Documents\戦国じゃんぶる\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-DHhVmyNq.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 5, 109
"c:\Users\jingc\Documents\戦国じゃんぶる\dist\assets\index-zcRoXfDO.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -104, 0, -5, -109
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.css", "PostCSS", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 63
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 6, 112
"c:\Users\jingc\Documents\戦国じゃんぶる\preview.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 417, 0, 43, 460
"c:\Users\jingc\Documents\戦国じゃんぶる\sprite-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\BattleScene.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 368, 0, 0, 0, 1, 16, 385
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\battlefieldLayout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 8, 13, 98
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\entities\Soldier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\factories\createArmy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapTransitionState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 53
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapUiAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 13, 113
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\map\mapUiModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 17, 178
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\actionEffectPolicy.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\actionEffectPolicy.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 9, 50
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleEffectRenderer.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 8, 89
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleEffectRenderer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 12, 171
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelAssets.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 1, 19, 150
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelModel.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 11, 159
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlePanelUi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 3, 45, 432
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleUiTimeline.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battleUiTimeline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 5, 20, 175
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\battlefieldAssets.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 45
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\characterSprite.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 13, 167
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\characterSprite.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 23, 262
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectManifest.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 9, 95
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectManifest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 32, 223
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectTimeline.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\rendering\effectTimeline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\generalStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\mosaStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\ninjaStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\stats\strategistStats.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\armySetupSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\attackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseAttackBounceSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseGateRecoveryGeometry.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 10, 118
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseSystem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\baseSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\battlefieldGeometry.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\combatSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\commandSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\confusionSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\defenseSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\generalAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 7, 95
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\mosaAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 72
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\movementSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\ninjaAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 3, 137
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3eBattlefield.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3fFidelity.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3gFixes.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3jPlayerControl.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4f1Confusion.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4fNinja.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 3, 96
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4gGeneral.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 10, 91
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4hStrategist.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 12, 104
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4iMosa.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 11, 104
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\recoverySystem.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\recoverySystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\specialAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\strategistAttackSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 3, 120
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\unitLoadoutSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\ui\armySetupPanel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\jingc\Documents\戦国じゃんぶる\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\battle_ui_swf_reference\README.md", "Markdown", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 38, 136
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\battle_ui_swf_reference\battle_ui_timeline_manifest.json", "JSON", 0, 0, 0, 0, 1005, 0, 0, 0, 0, 0, 0, 0, 1005
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\battle_ui_swf_reference\codex_handoff.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\battle_ui_swf_reference\raw_button_actions.json", "JSON", 0, 0, 0, 0, 576, 0, 0, 0, 0, 0, 0, 0, 576
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\battle_ui_swf_reference\validation_report.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\imagegen\build-closed-from-master.ps1", "PowerShell", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 10, 11, 98
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\imagegen\build-east-poses-from-master.ps1", "PowerShell", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 7, 77
"c:\Users\jingc\Documents\戦国じゃんぶる\tmp\imagegen\build-east-sprites.ps1", "PowerShell", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 2, 13, 139
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_legs.py", "Python", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25, 141
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v2.py", "Python", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 19, 32, 176
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v3.py", "Python", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 12, 24, 124
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v4.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 54
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v5.py", "Python", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 118
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v6.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 118
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v7.py", "Python", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 80
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v8.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 69
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\patch_south_master_v9.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 67
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\promote_candidate.py", "Python", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 62
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\retrace_south_actual.py", "Python", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 164
"c:\Users\jingc\Documents\戦国じゃんぶる\tools\teppou\validate_sprite.py", "Python", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39, 271
"c:\Users\jingc\Documents\戦国じゃんぶる\tsconfig.json", "JSON with Comments", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 1, 1075, 271, 226, 32711, 57, 4121, 106, 6, 444, 118, 883, 40019
