stage_name,map_key,level,efm,slot,index,name,class_name,strategy_name,world_x,world_y,combat_pw,defense_df,skill_kp,hp_mp,foot_s,technique_code,technique_name,special_codes_raw,missing_direct_assignments
真田昌幸軍,x16y6,5,116,m40,10,由利鎌之助,足軽,突撃,1113,540,75,71,51,53,4,21,槍術,s1s2s3s13s,
真田昌幸軍,x16y6,5,116,m41,11,筧十蔵,鉄砲,待機,1113,648,64,65,88,64,4,5,狙撃,s1s2s3s21s,
真田昌幸軍,x16y6,5,116,m42,12,望月六郎,弓兵,守備,1113,504,64,61,83,54,4,16,焙烙,s1s2s3s21s,
滝川一益軍,x16y12,4,117,m30,0,滝川一益,武将,迎撃,1437,576,94,84,83,81,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
滝川一益軍,x16y12,4,117,m31,1,滝川益氏,武将,守備,1041,540,102,74,61,71,4,22,豪傑,s1s4s7s8s10s9s15s25s,
滝川一益軍,x16y12,4,117,m32,2,前田慶次郎,猛者,乱戦,1041,576,120,115,72,125,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
前田慶次郎軍,x15y0,6,118,m30,0,前田慶次郎,猛者,乱戦,1221,576,120,115,72,125,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
宮本武蔵軍,x0y4,5,119,m30,0,宮本武蔵,猛者,乱戦,1221,576,125,125,70,115,4,25,鬼神,s1s4s10s11s19s20s21s25s,
堺衆,x2y9,4,120,m30,0,千宗易,軍師,守備,1509,576,65,72,91,55,3,24,治癒,s2s3s19s14s16s18s29s,
透波衆,x16y5,3,121,m30,0,猿飛佐助,忍者,迎撃,1221,684,99,99,99,60,6,13,影走,s1s7s8s19s9s13s20s17s21s22s26s,
透波衆,x16y5,3,121,m31,1,霧隠才蔵,忍者,突撃,1221,468,71,75,102,55,5,20,幻術,s1s8s11s19s17s29s,
一向一揆,x12y0,6,122,m30,0,本願寺顕如,軍師,守備,1401,576,44,67,110,45,3,18,妖術,s2s3s19s15s14s16s18s28s,
一向一揆,x12y0,6,122,m31,1,下間頼廉,武将,迎撃,1257,576,89,91,89,75,4,18,妖術,s1s2s3s4s8s10s11s9s13s15s20s14s21s29s,
一向一揆,x12y0,6,122,m32,2,本多正信,軍師,迎撃,1509,576,54,78,115,54,4,24,治癒,s2s3s19s13s15s20s14s16s17s18s28s,
丹羽長秀軍,x3y8,3,123,m30,0,丹羽長秀,武将,守備,1437,576,69,81,83,79,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
丹羽長秀軍,x3y8,3,123,m31,1,池田恒興,武将,迎撃,1293,432,71,71,69,65,4,14,号令,s1s2s3s12s9s13s15s14s18s,
丹羽長秀軍,x3y8,3,123,m32,2,池田輝政,武将,迎撃,1293,720,82,79,71,55,4,14,号令,s1s2s3s7s12s9s15s25s,
明智光秀軍,x6y7,5,124,m30,0,明智光秀,武将,守備,1437,576,89,98,92,72,4,14,号令,s1s2s3s8s19s9s13s15s14s18s21s27s,
明智光秀軍,x6y7,5,124,m31,1,明智秀満,武将,迎撃,1221,504,91,82,69,64,4,14,号令,s1s2s3s7s8s13s15s28s,
明智光秀軍,x6y7,5,124,m32,2,斉藤利三,武将,迎撃,1221,648,98,73,52,76,4,14,号令,s1ss3s4s7s10s11s9s28s,
柴田勝家軍,x14y1,6,125,m30,0,柴田勝家,武将,迎撃,1257,540,105,95,69,96,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
柴田勝家軍,x14y1,6,125,m31,1,前田利家,武将,突撃,1113,360,81,95,92,74,4,14,号令,s1s2s3s8s19s12s9s13s15s20s14s16s21s26s,
柴田勝家軍,x14y1,6,125,m32,2,佐々成政,武将,突撃,1113,828,91,71,71,71,4,14,号令,s1s3s7s8s9s15s20s28s,
柴田勝家軍,x14y1,6,125,m33,3,佐久間盛政,武将,迎撃,1257,612,95,69,54,75,4,14,号令,s1s4s7s9s29s,
徳川家康軍,x13y13,7,126,m30,0,徳川家康,武将,守備,1581,576,85,112,112,92,3,22,豪傑,s1s2s3s8s11s19s15s20s14s16s17s18s21s22s25s,
徳川家康軍,x13y13,7,126,m31,1,本多忠勝,武将,突撃,1077,828,115,94,73,98,4,,,s1s4s7s8s10s11s19s9s15s20s29s,ac
徳川家康軍,x13y13,7,126,m32,2,酒井忠次,武将,守備,1437,576,85,91,82,74,4,14,号令,s1s2s3s8s11s9s13s15s16s18s28s,
徳川家康軍,x13y13,7,126,m33,3,榊原康政,武将,迎撃,1437,684,92,84,71,76,4,14,号令,s1s2s3s4s7s8s11s19s9s15s29s,
徳川家康軍,x13y13,7,126,m34,4,井伊直政,武将,迎撃,1437,468,81,82,81,65,4,14,号令,s1s2s3s11s13s15s14s18s28s,
徳川家康軍,x13y13,7,126,m35,5,服部半蔵,武将,突撃,1077,360,118,125,112,70,6,18,妖術,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
羽柴秀吉軍,x3y2,8,127,m30,0,羽柴秀吉,武将,守備,1473,576,81,95,110,82,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
羽柴秀吉軍,x3y2,8,127,m31,1,黒田官兵衛,軍師,迎撃,1293,432,71,85,125,52,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
羽柴秀吉軍,x3y2,8,127,m32,2,竹中半兵衛,軍師,迎撃,1293,720,41,74,125,32,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
羽柴秀吉軍,x3y2,8,127,m33,3,蜂須賀小六,猛者,迎撃,1257,576,102,71,65,95,4,23,無双,s1s3s4s7s10s11s15s14s17s25s,
羽柴秀吉軍,x3y2,8,127,m34,4,羽柴秀長,軍師,守備,1401,576,71,92,82,35,3,24,治癒,s2s3s11s13s15s20s14s16s18s29s,
羽柴秀吉軍,x3y2,8,127,m35,5,加藤清正,武将,突撃,1077,468,93,105,72,92,4,22,豪傑,s1s2s3s4s7s8s10s11s12s9s13s15s26s,
羽柴秀吉軍,x3y2,8,127,m36,6,福島正則,武将,突撃,1077,684,104,95,69,95,4,22,豪傑,s1s2s3s4s7s8s10s19s9s15s29s,
織田信長軍,x9y7,9,128,m30,0,織田信長,武将,迎撃,1437,576,84,130,130,82,4,20,幻術,s1s2s3s4s5s6s8s11s19s12s13s15s20s17s18s21s22s26s,
織田信長軍,x9y7,9,128,m31,1,森蘭丸,足軽,守備,1473,576,79,74,78,54,5,21,槍術,s1s2s3s6s19s12s9s13s22s29s,
織田信長軍,x9y7,9,128,m32,2,蒲生氏郷,武将,守備,1545,612,81,94,98,73,4,14,号令,s1s2s3s8s11s19s9s15s14s18s21s28s,
織田信長軍,x9y7,9,128,m33,3,柴田勝家,武将,突撃,1149,828,105,95,69,96,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
織田信長軍,x9y7,9,128,m34,4,丹羽長秀,武将,迎撃,1329,576,69,81,83,79,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
織田信長軍,x9y7,9,128,m35,5,羽柴秀吉,武将,迎撃,1149,360,81,95,110,82,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
織田信長軍,x9y7,9,128,m36,6,滝川一益,武将,迎撃,1221,576,94,84,83,81,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
織田信長軍,x9y7,9,128,m37,7,前田利家,武将,突撃,1113,900,81,95,92,74,4,22,豪傑,s1s2s3s8s19s12s9s13s15s20s14s16s21s26s,
織田信長軍,x9y7,9,128,m38,8,佐々成政,武将,突撃,1113,756,91,71,71,71,4,22,豪傑,s1s3s7s8s9s15s20s28s,
織田信長軍,x9y7,9,128,m39,9,池田恒興,武将,守備,1545,540,71,71,69,65,4,14,号令,s1s2s3s12s9s13s15s14s18s,
織田信長軍,x9y7,9,128,m40,10,黒田官兵衛,軍師,迎撃,1149,288,71,85,125,52,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
織田信長軍,x9y7,9,128,m41,11,竹中半兵衛,軍師,迎撃,1149,432,41,74,125,32,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
織田信長軍,x9y7,9,128,m42,12,加藤清正,武将,迎撃,1113,288,93,105,72,92,4,22,豪傑,s1s2s3s4s7s8s10s11s12s9s13s15s26s,
織田信長軍,x9y7,9,128,m43,13,福島正則,武将,迎撃,1113,432,104,95,69,95,4,22,豪傑,s1s2s3s4s7s8s10s19s9s15s29s,
織田信長軍,x9y7,9,128,m44,14,佐久間盛政,武将,突撃,1077,828,95,69,54,75,4,22,豪傑,s1s4s7s9s29s,
織田信長軍,x9y7,9,128,m45,15,蜂須賀小六,猛者,迎撃,1077,360,102,71,65,95,4,23,無双,s1s3s4s7s10s11s15s14s17s25s,
,,,129,m30,0,織田信長,武将,守備,1545,576,84,130,130,112,4,24,治癒,s1s2s3s4s5s6s8s11s19s12s13s15s20s17s18s21s22s26s,
,,,129,m31,1,徳川家康,武将,待機,1473,576,85,112,112,122,3,24,治癒,s1s2s3s8s11s19s15s20s14s16s17s18s21s22s25s,
,,,129,m32,2,羽柴秀吉,武将,守備,1545,648,81,95,110,112,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
,,,129,m33,3,柴田勝家,武将,守備,1401,432,105,95,69,126,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
,,,129,m34,4,丹羽長秀,武将,待機,1545,540,69,81,83,109,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
,,,129,m35,5,滝川一益,武将,守備,1401,720,94,84,83,111,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
,,,129,m36,6,前田慶次郎,猛者,守備,1257,612,120,115,72,155,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
,,,129,m37,7,宮本武蔵,猛者,守備,1257,540,125,125,70,145,4,25,鬼神,s1s4s10s11s19s20s21s25s,
,,,129,m38,8,服部半蔵,武将,守備,1473,792,118,125,112,100,6,22,豪傑,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
,,,129,m39,9,飛加藤段蔵,忍者,突撃,1437,180,125,100,125,95,6,20,幻術,s1s2s3s4s7s8s10s11s19s12s9s20s17s22s27s21s,
,,,129,m40,10,風魔小太郎,忍者,突撃,1509,180,120,120,78,100,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
,,,129,m41,11,黒田官兵衛,軍師,守備,1473,684,71,85,125,82,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
,,,129,m42,12,竹中半兵衛,軍師,守備,1473,468,41,74,125,62,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
,,,129,m43,13,島左近,武将,守備,1473,360,110,85,72,113,4,22,豪傑,s1s2s3s4s7s10s11s19s9s13s20s26s,
,,,129,m44,14,雑賀孫一,鉄砲,守備,1329,576,91,82,125,101,5,17,砲撃,s1s2s3s4s5s10s11s15s16s19s21s26s,
,,,129,m45,15,雑賀衆壱,鉄砲,守備,1329,540,85,81,95,90,2,17,砲撃,s2s5s10s11s19s18s21s22,
,,,129,m46,16,雑賀衆弐,鉄砲,待機,1329,612,85,81,95,90,2,17,砲撃,s2s5s10s11s19s18s21s22,
,,,129,m47,17,雑賀衆参,鉄砲,待機,1581,504,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
,,,129,m48,18,雑賀衆肆,鉄砲,待機,1581,612,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
,,,129,m49,19,雑賀衆伍,鉄砲,待機,1581,576,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
,,,129,m50,20,筧十蔵,鉄砲,守備,1401,576,64,65,88,94,4,,,s1s2s3s21s,ac
,,,129,m51,21,雑賀衆陸,鉄砲,待機,1581,648,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
,,,129,m52,22,雑賀衆漆,鉄砲,待機,1581,540,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
