efm,slot,index,name,world_x,world_y,class_code,class_name,strategy_raw,strategy_name,combat_pw,defense_df,skill_kp,hp_mp,foot_s,technique_code,technique_name,special_codes_raw,missing_direct_assignments
108,m30,0,服部半蔵,1437,576,3,武将,3,守備,118,125,112,70,6,18,妖術,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
109,m30,0,本多正信,1401,504,5,軍師,8,迎撃,54,78,115,54,4,24,治癒,s2s3s19s13s15s20s14s16s17s18s28s,
109,m31,1,本多正純,1401,648,5,軍師,8,迎撃,36,54,82,41,3,19,虚報,s2s3s13s20s16s17s27s,
110,m30,0,武田勝頼,1437,576,8,騎馬,1,突撃,91,71,79,81,5,26,騎突,s1s4s7s8s10s9s13s15s22s26s31s32s,
110,m31,1,高坂昌信,1437,612,5,軍師,8,迎撃,71,85,89,61,3,9,業火,s1s2s3s7s8s19s13s15s14s16s18s25s,
110,m32,2,小山田信茂,1437,540,5,軍師,8,迎撃,73,75,79,69,4,14,号令,s1s2s3s7s8s19s11s13s15s14s18s28s,
110,m33,3,飛加藤段蔵,1221,576,7,忍者,1,突撃,125,100,125,65,6,20,幻術,s1s2s3s4s7s8s10s11s19s12s9s20s17s22s27s21s,
110,m34,4,仁科盛信,1149,360,8,騎馬,1,突撃,84,65,71,74,5,26,騎突,s1s2s3s7s8s11s13s15s20s14s31s32s,
111,m30,0,北条氏政,1473,612,3,武将,3,守備,69,84,71,71,3,14,号令,s2s3s11s19s13s15s20s16s18s,
111,m31,1,大道寺政繁,1473,540,3,武将,8,迎撃,71,75,79,61,3,14,号令,s1s2s3s11s19s13s15s20s14s16s18s,
111,m32,2,松田憲秀,1401,1008,5,軍師,8,迎撃,23,65,79,59,4,19,虚報,s1s2s3s17s22s27s,
111,m33,3,風魔小太郎,1041,252,7,忍者,1,突撃,120,120,78,70,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
112,m30,0,宇喜多秀家,1437,576,5,軍師,8,迎撃,34,68,82,35,3,8,火計,s1s2s3s13s15s18s25s,
113,m30,0,足利義昭,1437,576,5,軍師,8,迎撃,34,44,81,81,3,19,虚報,s2s3s11s19s20s17s18s22s27s,
113,m31,1,細川藤孝,1437,540,5,軍師,8,迎撃,69,84,91,71,4,24,治癒,s1s2s3s19s13s15s20s14s16s17s18s21s28s,
113,m32,2,和田惟政,1581,576,7,忍者,3,守備,73,75,69,39,5,13,影走,s1s2s3s8s9s13s20s17s28s,
114,m30,0,上杉景勝,1113,576,8,騎馬,1,突撃,94,81,63,91,5,26,騎突,s1s2s3s4s7s8s10s11s19s9s13s15s20s14s26s31s32s,
114,m31,1,直江兼続,1437,576,5,軍師,8,迎撃,82,105,110,81,4,24,治癒,s1s2s3s8s10s11s19s13s15s20s14s16s18s21s26s,
114,m32,2,軒猿衆壱,1041,180,7,忍者,1,突撃,80,70,60,45,5,13,影走,s1s7s8s19s22s28s,
114,m33,3,軒猿衆弐,1041,1008,7,忍者,1,突撃,80,70,60,45,5,13,影走,s1s7s8s19s22s29s,
115,m30,0,毛利輝元,1437,576,3,武将,3,守備,69,71,63,69,3,14,号令,s2s3s11s13s15s20s18s,
115,m31,1,吉川元春,1113,828,3,武将,8,迎撃,82,89,74,75,4,14,号令,s1s2s3s8s11s19s9s13s15s14s18s28s,
115,m32,2,小早川隆景,1113,360,5,軍師,8,迎撃,71,85,92,65,4,9,業火,s1s2s3s8s11s19s13s15s20s14s16s17s18s29s,
116,m30,0,真田昌幸,1365,576,5,軍師,8,迎撃,82,102,94,72,4,10,炎術,s1s2s3s8s11s19s13s15s14s16s17s18s21s25s,
116,m31,1,真田信幸,1401,576,3,武将,8,迎撃,71,85,72,71,3,14,号令,s2s3s13s20s14s17s,
116,m32,2,真田幸村,1077,576,3,武将,8,迎撃,112,113,94,89,5,22,豪傑,s1s2s3s4s7s8s10s11s19s12s9s13s15s20s14s16s21s26s,
116,m33,3,猿飛佐助,1041,612,7,忍者,1,突撃,99,99,99,60,6,13,影走,s1s7s8s19s9s13s20s17s21s22s26s,
116,m34,4,霧隠才蔵,1041,648,7,忍者,1,突撃,71,75,102,55,5,20,幻術,s1s8s11s19s17s29s,
116,m35,5,三好清海,1041,504,4,猛者,0,乱戦,121,62,59,91,4,23,無双,s1s4s7s8s10s9s13s20s,
116,m36,6,三好伊三,1041,540,4,猛者,0,乱戦,111,75,49,71,3,23,無双,s1s4s7s8s11s13s20s,
116,m37,7,海野六郎,1077,504,1,足軽,1,突撃,69,81,61,59,4,21,槍術,s1s2s3s7s13s20s,
116,m38,8,根津甚八,1113,612,1,足軽,1,突撃,83,69,65,68,4,21,槍術,s1s2s3s19s20s17s,
116,m39,9,穴山小介,1077,648,1,足軽,1,突撃,67,78,71,44,4,21,槍術,s1s2s3s7s21s19s13s,
116,m40,10,由利鎌之助,1113,540,1,足軽,1,突撃,75,71,51,53,4,21,槍術,s1s2s3s13s,
116,m41,11,筧十蔵,1113,648,6,鉄砲,4,待機,64,65,88,64,4,5,狙撃,s1s2s3s21s,
116,m42,12,望月六郎,1113,504,2,弓兵,3,守備,64,61,83,54,4,16,焙烙,s1s2s3s21s,
117,m30,0,滝川一益,1437,576,3,武将,8,迎撃,94,84,83,81,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
117,m31,1,滝川益氏,1041,540,3,武将,3,守備,102,74,61,71,4,22,豪傑,s1s4s7s8s10s9s15s25s,
117,m32,2,前田慶次郎,1041,576,4,猛者,0,乱戦,120,115,72,125,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
118,m30,0,前田慶次郎,1221,576,4,猛者,0,乱戦,120,115,72,125,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
119,m30,0,宮本武蔵,1221,576,4,猛者,0,乱戦,125,125,70,115,4,25,鬼神,s1s4s10s11s19s20s21s25s,
120,m30,0,千宗易,1509,576,5,軍師,3,守備,65,72,91,55,3,24,治癒,s2s3s19s14s16s18s29s,
121,m30,0,猿飛佐助,1221,684,7,忍者,8,迎撃,99,99,99,60,6,13,影走,s1s7s8s19s9s13s20s17s21s22s26s,
121,m31,1,霧隠才蔵,1221,468,7,忍者,1,突撃,71,75,102,55,5,20,幻術,s1s8s11s19s17s29s,
122,m30,0,本願寺顕如,1401,576,5,軍師,3,守備,44,67,110,45,3,18,妖術,s2s3s19s15s14s16s18s28s,
122,m31,1,下間頼廉,1257,576,3,武将,8,迎撃,89,91,89,75,4,18,妖術,s1s2s3s4s8s10s11s9s13s15s20s14s21s29s,
122,m32,2,本多正信,1509,576,5,軍師,8,迎撃,54,78,115,54,4,24,治癒,s2s3s19s13s15s20s14s16s17s18s28s,
123,m30,0,丹羽長秀,1437,576,3,武将,3,守備,69,81,83,79,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
123,m31,1,池田恒興,1293,432,3,武将,8,迎撃,71,71,69,65,4,14,号令,s1s2s3s12s9s13s15s14s18s,
123,m32,2,池田輝政,1293,720,3,武将,8,迎撃,82,79,71,55,4,14,号令,s1s2s3s7s12s9s15s25s,
124,m30,0,明智光秀,1437,576,3,武将,3,守備,89,98,92,72,4,14,号令,s1s2s3s8s19s9s13s15s14s18s21s27s,
124,m31,1,明智秀満,1221,504,3,武将,8,迎撃,91,82,69,64,4,14,号令,s1s2s3s7s8s13s15s28s,
124,m32,2,斉藤利三,1221,648,3,武将,8,迎撃,98,73,52,76,4,14,号令,s1ss3s4s7s10s11s9s28s,
125,m30,0,柴田勝家,1257,540,3,武将,8,迎撃,105,95,69,96,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
125,m31,1,前田利家,1113,360,3,武将,1,突撃,81,95,92,74,4,14,号令,s1s2s3s8s19s12s9s13s15s20s14s16s21s26s,
125,m32,2,佐々成政,1113,828,3,武将,1,突撃,91,71,71,71,4,14,号令,s1s3s7s8s9s15s20s28s,
125,m33,3,佐久間盛政,1257,612,3,武将,8,迎撃,95,69,54,75,4,14,号令,s1s4s7s9s29s,
126,m30,0,徳川家康,1581,576,3,武将,3,守備,85,112,112,92,3,22,豪傑,s1s2s3s8s11s19s15s20s14s16s17s18s21s22s25s,
126,m31,1,本多忠勝,1077,828,3,武将,1,突撃,115,94,73,98,4,,,s1s4s7s8s10s11s19s9s15s20s29s,ac
126,m32,2,酒井忠次,1437,576,3,武将,3,守備,85,91,82,74,4,14,号令,s1s2s3s8s11s9s13s15s16s18s28s,
126,m33,3,榊原康政,1437,684,3,武将,8,迎撃,92,84,71,76,4,14,号令,s1s2s3s4s7s8s11s19s9s15s29s,
126,m34,4,井伊直政,1437,468,3,武将,8,迎撃,81,82,81,65,4,14,号令,s1s2s3s11s13s15s14s18s28s,
126,m35,5,服部半蔵,1077,360,3,武将,1,突撃,118,125,112,70,6,18,妖術,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
127,m30,0,羽柴秀吉,1473,576,3,武将,3,守備,81,95,110,82,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
127,m31,1,黒田官兵衛,1293,432,5,軍師,8,迎撃,71,85,125,52,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
127,m32,2,竹中半兵衛,1293,720,5,軍師,8,迎撃,41,74,125,32,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
127,m33,3,蜂須賀小六,1257,576,4,猛者,8,迎撃,102,71,65,95,4,23,無双,s1s3s4s7s10s11s15s14s17s25s,
127,m34,4,羽柴秀長,1401,576,5,軍師,3,守備,71,92,82,35,3,24,治癒,s2s3s11s13s15s20s14s16s18s29s,
127,m35,5,加藤清正,1077,468,3,武将,1,突撃,93,105,72,92,4,22,豪傑,s1s2s3s4s7s8s10s11s12s9s13s15s26s,
127,m36,6,福島正則,1077,684,3,武将,1,突撃,104,95,69,95,4,22,豪傑,s1s2s3s4s7s8s10s19s9s15s29s,
128,m30,0,織田信長,1437,576,3,武将,8,迎撃,84,130,130,82,4,20,幻術,s1s2s3s4s5s6s8s11s19s12s13s15s20s17s18s21s22s26s,
128,m31,1,森蘭丸,1473,576,1,足軽,3,守備,79,74,78,54,5,21,槍術,s1s2s3s6s19s12s9s13s22s29s,
128,m32,2,蒲生氏郷,1545,612,3,武将,3,守備,81,94,98,73,4,14,号令,s1s2s3s8s11s19s9s15s14s18s21s28s,
128,m33,3,柴田勝家,1149,828,3,武将,1,突撃,105,95,69,96,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
128,m34,4,丹羽長秀,1329,576,3,武将,8,迎撃,69,81,83,79,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
128,m35,5,羽柴秀吉,1149,360,3,武将,8,迎撃,81,95,110,82,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
128,m36,6,滝川一益,1221,576,3,武将,8,迎撃,94,84,83,81,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
128,m37,7,前田利家,1113,900,3,武将,1,突撃,81,95,92,74,4,22,豪傑,s1s2s3s8s19s12s9s13s15s20s14s16s21s26s,
128,m38,8,佐々成政,1113,756,3,武将,1,突撃,91,71,71,71,4,22,豪傑,s1s3s7s8s9s15s20s28s,
128,m39,9,池田恒興,1545,540,3,武将,3,守備,71,71,69,65,4,14,号令,s1s2s3s12s9s13s15s14s18s,
128,m40,10,黒田官兵衛,1149,288,5,軍師,8,迎撃,71,85,125,52,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
128,m41,11,竹中半兵衛,1149,432,5,軍師,8,迎撃,41,74,125,32,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
128,m42,12,加藤清正,1113,288,3,武将,8,迎撃,93,105,72,92,4,22,豪傑,s1s2s3s4s7s8s10s11s12s9s13s15s26s,
128,m43,13,福島正則,1113,432,3,武将,8,迎撃,104,95,69,95,4,22,豪傑,s1s2s3s4s7s8s10s19s9s15s29s,
128,m44,14,佐久間盛政,1077,828,3,武将,1,突撃,95,69,54,75,4,22,豪傑,s1s4s7s9s29s,
128,m45,15,蜂須賀小六,1077,360,4,猛者,8,迎撃,102,71,65,95,4,23,無双,s1s3s4s7s10s11s15s14s17s25s,
129,m30,0,織田信長,1545,576,3,武将,3,守備,84,130,130,112,4,24,治癒,s1s2s3s4s5s6s8s11s19s12s13s15s20s17s18s21s22s26s,
129,m31,1,徳川家康,1473,576,3,武将,4,待機,85,112,112,122,3,24,治癒,s1s2s3s8s11s19s15s20s14s16s17s18s21s22s25s,
129,m32,2,羽柴秀吉,1545,648,3,武将,3,守備,81,95,110,112,5,24,治癒,s1s2s3s8s11s19s12s15s20s14s16s17s18s21s22s26s,
129,m33,3,柴田勝家,1401,432,3,武将,3,守備,105,95,69,126,4,22,豪傑,s1s2s3s4s7s8s10s11s9s13s15s20s25s,
129,m34,4,丹羽長秀,1545,540,3,武将,4,待機,69,81,83,109,4,24,治癒,s1s2s3s8s11s19s12s13s15s20s14s16s18s21s28s,
129,m35,5,滝川一益,1401,720,3,武将,3,守備,94,84,83,111,4,22,豪傑,s1s2s3s8s10s11s19s9s15s21s26s,
129,m36,6,前田慶次郎,1257,612,4,猛者,3,守備,120,115,72,155,4,25,鬼神,s1s2s3s4s7s8s10s11s19s20s9s13s15s21s26s,
129,m37,7,宮本武蔵,1257,540,4,猛者,3,守備,125,125,70,145,4,25,鬼神,s1s4s10s11s19s20s21s25s,
129,m38,8,服部半蔵,1473,792,3,武将,3,守備,118,125,112,100,6,22,豪傑,s1s2s3s8s10s11s19s15s20s17s21s22s26s,
129,m39,9,飛加藤段蔵,1437,180,7,忍者,1,突撃,125,100,125,95,6,20,幻術,s1s2s3s4s7s8s10s11s19s12s9s20s17s22s27s21s,
129,m40,10,風魔小太郎,1509,180,7,忍者,1,突撃,120,120,78,100,5,27,結界,s1s2s3s7s8s10s11s19s13s15s16s18s22s21s26s,
129,m41,11,黒田官兵衛,1473,684,5,軍師,3,守備,71,85,125,82,3,10,炎術,s1s2s3s8s19s9s13s17s21s29s,
129,m42,12,竹中半兵衛,1473,468,5,軍師,3,守備,41,74,125,62,3,10,炎術,s1s2s3s8s14s16s17s18s21s26s,
129,m43,13,島左近,1473,360,3,武将,3,守備,110,85,72,113,4,22,豪傑,s1s2s3s4s7s10s11s19s9s13s20s26s,
129,m44,14,雑賀孫一,1329,576,6,鉄砲,3,守備,91,82,125,101,5,17,砲撃,s1s2s3s4s5s10s11s15s16s19s21s26s,
129,m45,15,雑賀衆壱,1329,540,6,鉄砲,3,守備,85,81,95,90,2,17,砲撃,s2s5s10s11s19s18s21s22,
129,m46,16,雑賀衆弐,1329,612,6,鉄砲,4,待機,85,81,95,90,2,17,砲撃,s2s5s10s11s19s18s21s22,
129,m47,17,雑賀衆参,1581,504,6,鉄砲,4,待機,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
129,m48,18,雑賀衆肆,1581,612,6,鉄砲,4,待機,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
129,m49,19,雑賀衆伍,1581,576,6,鉄砲,4,待機,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
129,m50,20,筧十蔵,1401,576,6,鉄砲,3,守備,64,65,88,94,4,,,s1s2s3s21s,ac
129,m51,21,雑賀衆陸,1581,648,6,鉄砲,4,待機,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
129,m52,22,雑賀衆漆,1581,540,6,鉄砲,4,待機,85,81,95,90,2,5,狙撃,s2s5s10s11s19s18s21s22,
