x,y,map_key,category_code,category_name,battle_kind,name,formation_id,formation_pool,level,elv,selectable_battle,unlock_condition,special_flag,level_rule
0,2,x0y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,2,x1y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,2,x2y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,2,x3y2,7,攻略目標の敵城,named,羽柴秀吉軍,127,,8,30,True,,,
4,2,x4y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,2,x5y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,2,x6y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,2,x7y2,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
8,2,x8y2,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
9,2,x9y2,4,繁華街,generic,繁華街,,17..21 (uniform via floor(random*5)+17),4,10,True,,,
10,2,x10y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,2,x11y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,2,x12y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,2,x13y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,2,x14y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,2,x15y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,2,x16y2,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
0,3,x0y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,3,x1y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,3,x2y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,3,x3y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,3,x4y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,3,x5y3,2,鉄砲鍛造所,named,稲富流砲術隊,107,,4,10,True,,,
6,3,x6y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,3,x7y3,5,兵学舎,generic,兵学舎,38,,4,10,True,,,
8,3,x8y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
9,3,x9y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
10,3,x10y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,3,x11y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,3,x12y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,3,x13y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,3,x14y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,3,x15y3,5,兵学舎,named,姉小路頼綱軍,99,,2,0,True,,,
16,3,x16y3,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
0,4,x0y4,4,繁華街,named,宮本武蔵軍,119,,5,15,True,,,
1,4,x1y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,4,x2y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,4,x3y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,4,x4y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,4,x5y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,4,x6y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,4,x7y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
8,4,x8y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
9,4,x9y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
10,4,x10y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,4,x11y4,2,鉄砲鍛造所,named,国友鉄砲隊,98,,3,5,True,,,
12,4,x12y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,4,x13y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,4,x14y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,4,x15y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,4,x16y4,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
0,5,x0y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,5,x1y5,5,兵学舎,named,宇喜多秀家軍,112,,2,0,True,,,
2,5,x2y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,5,x3y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,5,x4y5,4,繁華街,generic,繁華街,,17..21 (uniform via floor(random*5)+17),3,5,True,,,
5,5,x5y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,5,x6y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,5,x7y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
8,5,x8y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
9,5,x9y5,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
10,5,x10y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,5,x11y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,5,x12y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,5,x13y5,4,繁華街,generic,繁華街,,17..21 (uniform via floor(random*5)+17),4,10,True,,,
14,5,x14y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,5,x15y5,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,5,x16y5,3,忍の里,named,透波衆,121,,3,5,True,,,
0,6,x0y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
1,6,x1y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,6,x2y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,6,x3y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,6,x4y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,6,x5y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,6,x6y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,6,x7y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
8,6,x8y6,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
9,6,x9y6,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
10,6,x10y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),6,20,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,6,x11y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,6,x12y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
13,6,x13y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,6,x14y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,6,x15y6,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,6,x16y6,5,兵学舎,named,真田昌幸軍,116,,5,15,True,,,
0,7,x0y7,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
1,7,x1y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
2,7,x2y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,7,x3y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
4,7,x4y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,7,x5y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
6,7,x6y7,7,攻略目標の敵城,named,明智光秀軍,124,,5,15,True,,,
7,7,x7y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
8,7,x8y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),6,20,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
9,7,x9y7,7,攻略目標の敵城,named,織田信長軍,128,,9,35,True,,,
10,7,x10y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),6,20,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
11,7,x11y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
12,7,x12y7,6,武家屋敷,generic,武家屋敷,,12..16 (uniform via floor(random*5)+12),3,5,True,,,
13,7,x13y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),3,5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
14,7,x14y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
15,7,x15y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
16,7,x16y7,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
0,8,x0y8,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
1,8,x1y8,1,通常戦闘地点から除外される地形/非通常セル,excluded,,,,,,False,,,
2,8,x2y8,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),1,-5,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
3,8,x3y8,7,攻略目標の敵城,named,丹羽長秀軍,123,,3,5,True,,,
4,8,x4y8,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),2,0,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
5,8,x5y8,5,兵学舎,named,足利義昭軍,113,,3,5,True,,,
6,8,x6y8,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),4,10,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
7,8,x7y8,0,織田家・雑軍（通常地点）,generic,織田家・雑軍,,1..38 (uniform via floor(random*38)+1),5,15,True,,,"d=max(|y-7|,|x-9|); d>5=>Lv1 else Lv=7-d; x9y8 forced Lv7"
8,8,x8y8,0,織田家・雑軍（通常地点）,special_locked,裏戦国,129,,10,40,True,clrmap contains X#9#7X,,
