"filename", "language", "JSON with Comments", "HTML", "TypeScript", "JSON", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\obstacleAvoidance.test.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 15, 118
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3dCombat.test.ts", "TypeScript", 0, 0, 149, 0, 0, 0, 0, 20, 169
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3eBattlefield.test.ts", "TypeScript", 0, 0, 146, 0, 0, 0, 0, 15, 161
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3fFidelity.test.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 16, 172
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3gFixes.test.ts", "TypeScript", 0, 0, 223, 0, 0, 0, 0, 23, 246
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3hIntegration.test.ts", "TypeScript", 0, 0, 146, 0, 0, 0, 0, 14, 160
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase3jPlayerControl.test.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 2, 88
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4a1GunBehavior.test.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 3, 55
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4aGunLoadout.test.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 3, 92
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4bBombardment.test.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 3, 107
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4c1TargetStrategy.test.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 2, 64
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4cCavalry.test.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 2, 94
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4d1Archer.test.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 3, 72
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4d2ArcherArea.test.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 3, 106
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\phase4eAshigaru.test.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 3, 94
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\playerControlSystem.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\reactionSystem.test.ts", "TypeScript", 0, 0, 217, 0, 0, 0, 0, 22, 239
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\reactionSystem.ts", "TypeScript", 0, 0, 65, 0, 0, 0, 0, 6, 71
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\recoverySystem.test.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 9, 99
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\recoverySystem.ts", "TypeScript", 0, 0, 214, 0, 0, 0, 0, 16, 230
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\skillCooldownSystem.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\soldierInspectorSystem.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\spearAttackSystem.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 3, 93
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\specialAbilitySystem.test.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 2, 44
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\specialAbilitySystem.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 2, 84
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\specialAttackSystem.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 12, 182
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\strategyEngagement.test.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 13, 123
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\systems.test.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 10, 90
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\unitLoadoutSystem.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 2, 59
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\systems\victorySystem.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\types.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 1, 15, 152
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\ui\armySetupPanel.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 2, 51
"c:\Users\jingc\Documents\戦国じゃんぶる\src\game\ui\playerLoadoutPanel.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 2, 61
"c:\Users\jingc\Documents\戦国じゃんぶる\src\main.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\jingc\Documents\戦国じゃんぶる\src\style.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\jingc\Documents\戦国じゃんぶる\tsconfig.json", "JSON with Comments", 16, 0, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 16, 25, 6222, 1698, 14, 104, 16, 551, 8646
